date,day,steps
2015-11-20,Friday,3768
2015-11-21,Saturday,8740
2015-11-22,Sunday,6400
2015-11-23,Monday,9287
2015-11-24,Tuesday,10970
2015-11-25,Wednesday,2527
2015-11-26,Thursday,3250
2015-11-27,Friday,2738
2015-11-28,Saturday,2903
2015-11-29,Sunday,8863
2015-11-30,Monday,6859
2015-12-01,Tuesday,11720
2015-12-02,Wednesday,18475
2015-12-03,Thursday,10271
2015-12-04,Friday,7007
2015-12-05,Saturday,4093
2015-12-06,Sunday,5955
2015-12-07,Monday,4950
2015-12-08,Tuesday,6276
2015-12-09,Wednesday,136
2015-12-10,Thursday,8881
2015-12-11,Friday,9924
2015-12-12,Saturday,2536
2015-12-13,Sunday,5651
2015-12-14,Monday,7790
2015-12-15,Tuesday,6719
2015-12-16,Wednesday,3748
2015-12-17,Thursday,7860
2015-12-18,Friday,4977
2015-12-19,Saturday,3209
2015-12-20,Sunday,3099
2015-12-21,Monday,11269
2015-12-22,Tuesday,358
2015-12-23,Wednesday,4587
2015-12-24,Thursday,1162
2015-12-25,Friday,2607
2015-12-26,Saturday,7162
2015-12-27,Sunday,5145
2015-12-28,Monday,1532
2015-12-29,Tuesday,4607
2015-12-30,Wednesday,2983
2015-12-31,Thursday,5918
2016-01-01,Friday,2485
2016-01-02,Saturday,7422
2016-01-03,Sunday,2715
2016-01-09,Saturday,1121
2016-01-10,Sunday,1851
2016-01-11,Monday,4986
2016-01-12,Tuesday,1842
2016-01-13,Wednesday,11800
2016-01-14,Thursday,4067
2016-01-15,Friday,3222
2016-01-16,Saturday,10321
2016-01-17,Sunday,4223
2016-01-18,Monday,10968
2016-01-19,Tuesday,2477
2016-01-20,Wednesday,9407
2016-01-21,Thursday,1022
2016-01-22,Friday,5830
2016-01-23,Saturday,3373
2016-01-24,Sunday,16555
2016-01-25,Monday,6244
2016-01-26,Tuesday,4805
2016-01-27,Wednesday,12752
2016-01-28,Thursday,10052
2016-01-29,Friday,18341
2016-01-30,Saturday,6754
2016-01-31,Sunday,10897
2016-02-01,Monday,9876
2016-02-02,Tuesday,8134
2016-02-03,Wednesday,14142
2016-02-04,Thursday,7666
2016-02-05,Friday,9727
2016-02-06,Saturday,8209
2016-02-07,Sunday,4532
2016-02-08,Monday,7544
2016-02-09,Tuesday,9042
2016-02-10,Wednesday,10843
2016-02-11,Thursday,9189
2016-02-12,Friday,7407
2016-02-13,Saturday,8990
2016-02-14,Sunday,2348
2016-02-15,Monday,4296
2016-02-16,Tuesday,5816
2016-02-17,Wednesday,12173
2016-02-18,Thursday,10260
2016-02-19,Friday,11550
2016-02-20,Saturday,9420
2016-02-21,Sunday,5096
2016-02-22,Monday,6158
2016-02-23,Tuesday,4294
2016-02-24,Wednesday,10956
2016-02-25,Thursday,8402
2016-02-26,Friday,15515
2016-02-27,Saturday,4749
2016-02-28,Sunday,4406
2016-02-29,Monday,5466
2016-03-01,Tuesday,12263
2016-03-02,Wednesday,6392
2016-03-03,Thursday,12882
2016-03-04,Friday,14174
2016-03-05,Saturday,9125
2016-03-06,Sunday,4637
2016-03-07,Monday,12559
2016-03-08,Tuesday,6488
2016-03-09,Wednesday,10375
2016-03-10,Thursday,11224
2016-03-11,Friday,9682
2016-03-12,Saturday,10903
2016-03-13,Sunday,4316
2016-03-14,Monday,6220
2016-03-15,Tuesday,5885
2016-03-16,Wednesday,4030
2016-03-17,Thursday,7903
2016-03-18,Friday,6105
2016-03-19,Saturday,10255
2016-03-20,Sunday,11235
2016-03-21,Monday,4274
2016-03-22,Tuesday,7666
2016-03-23,Wednesday,9774
2016-03-24,Thursday,15278
2016-03-25,Friday,16148
2016-03-26,Saturday,5662
2016-03-27,Sunday,10861
2016-03-28,Monday,12837
2016-03-29,Tuesday,13780
2016-03-30,Wednesday,10064
2016-03-31,Thursday,7280
2016-04-01,Friday,10608
2016-04-02,Saturday,4799
2016-04-03,Sunday,10181
2016-04-04,Monday,7844
2016-04-05,Tuesday,7590
2016-04-06,Wednesday,5534
2016-04-07,Thursday,10061
2016-04-08,Friday,5678
2016-04-09,Saturday,3453
2016-04-10,Sunday,3512
2016-04-11,Monday,6126
2016-04-12,Tuesday,11568
2016-04-13,Wednesday,4740
2016-04-14,Thursday,9750
2016-04-15,Friday,12867
2016-04-16,Saturday,7190
2016-04-17,Sunday,9750
2016-04-18,Monday,7069
2016-04-19,Tuesday,10913
2016-04-20,Wednesday,10769
2016-04-21,Thursday,14136
2016-04-22,Friday,7855
2016-04-23,Saturday,5287
2016-04-24,Sunday,2520
2016-04-25,Monday,3744
2016-04-26,Tuesday,2990
2016-04-27,Wednesday,11940
2016-04-28,Thursday,8926
2016-04-29,Friday,8321
2016-04-30,Saturday,750
2016-05-01,Sunday,6647
2016-05-02,Monday,5645
2016-05-03,Tuesday,13126
2016-05-04,Wednesday,4758
2016-05-05,Thursday,10282
2016-05-06,Friday,6887
2016-05-07,Saturday,4506
2016-05-08,Sunday,5512
2016-05-09,Monday,5426
2016-05-10,Tuesday,2734
2016-05-11,Wednesday,7019
2016-05-12,Thursday,5889
2016-05-13,Friday,5618
2016-05-14,Saturday,3628
2016-05-15,Sunday,11949
2016-05-16,Monday,4607
2016-05-17,Tuesday,5177
2016-05-18,Wednesday,7688
2016-05-19,Thursday,6424
2016-05-20,Friday,5260
2016-05-21,Saturday,17264
2016-05-22,Sunday,20464
2016-05-23,Monday,5248
2016-05-24,Tuesday,10776
2016-05-25,Wednesday,9707
2016-05-26,Thursday,15459
2016-05-27,Friday,11263
2016-05-28,Saturday,14753
2016-05-29,Sunday,14126
2016-05-30,Monday,11683
2016-05-31,Tuesday,4684
2016-06-01,Wednesday,288
2016-06-02,Thursday,4408
2016-06-03,Friday,1742
2016-06-04,Saturday,12914
2016-06-05,Sunday,997
2016-06-06,Monday,4696
2016-06-07,Tuesday,5243
2016-06-08,Wednesday,9181
2016-06-09,Thursday,4902
2016-06-10,Friday,8495
2016-06-11,Saturday,2816
2016-06-12,Sunday,4511
2016-06-13,Monday,8602
2016-06-14,Tuesday,6792
2016-06-15,Wednesday,9247
2016-06-16,Thursday,5337
2016-06-17,Friday,5456
2016-06-18,Saturday,8658
2016-06-19,Sunday,1251
2016-06-20,Monday,5840
2016-06-21,Tuesday,5495
2016-06-22,Wednesday,11127
2016-06-23,Thursday,6986
2016-06-24,Friday,1781
2016-06-25,Saturday,6866
2016-06-26,Sunday,2512
2016-06-27,Monday,5606
2016-06-28,Tuesday,5546
2016-06-29,Wednesday,6123
2016-06-30,Thursday,6622
2016-07-01,Friday,5020
2016-07-02,Saturday,1722
2016-07-03,Sunday,2474
2016-07-04,Monday,11173
2016-07-05,Tuesday,10010
2016-07-06,Wednesday,4722
2016-07-07,Thursday,7843
2016-07-08,Friday,6231
2016-07-09,Saturday,10496
2016-07-10,Sunday,10482
2016-07-11,Monday,14396
2016-07-12,Tuesday,8029
2016-07-13,Wednesday,5079
2016-07-14,Thursday,5376
2016-07-15,Friday,11638
2016-07-16,Saturday,14945
2016-07-17,Sunday,10577
2016-07-18,Monday,5183
2016-07-19,Tuesday,6292
2016-07-20,Wednesday,8643
2016-07-21,Thursday,5004
2016-07-22,Friday,6447
